,index,val_sessions,val_total_power,val_power_median
6016,2019-01-01 00:24:39+00:00,3.0,7.568721438391778,2.0318736894042186
6017,2019-01-01 01:24:39+00:00,3.0,7.568721438391778,2.0318736894042186
6018,2019-01-01 02:24:39+00:00,2.0,2.189433647694104,1.094716823847052
6019,2019-01-01 03:24:39+00:00,1.0,2.0318736894042186,2.0318736894042186
6020,2019-01-01 04:24:39+00:00,2.0,5.069615890054001,2.5348079450270005
6021,2019-01-01 05:24:39+00:00,2.0,5.069615890054001,2.5348079450270005
6022,2019-01-01 06:24:39+00:00,2.0,5.069615890054001,2.5348079450270005
6023,2019-01-01 07:24:39+00:00,2.0,5.069615890054001,2.5348079450270005
6024,2019-01-01 08:24:39+00:00,2.0,5.069615890054001,2.5348079450270005
6025,2019-01-01 09:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6026,2019-01-01 10:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6027,2019-01-01 11:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6028,2019-01-01 12:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6029,2019-01-01 13:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6030,2019-01-01 14:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6031,2019-01-01 15:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6032,2019-01-01 16:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6033,2019-01-01 17:24:39+00:00,1.0,3.0377422006497827,3.0377422006497827
6034,2019-01-01 18:24:39+00:00,2.0,2.4113657520823124,1.2056828760411562
6035,2019-01-01 19:24:39+00:00,2.0,2.428723929511401,1.2143619647557005
6036,2019-01-01 20:24:39+00:00,1.0,1.4738657520823124,1.4738657520823124
6037,2019-01-01 21:24:39+00:00,4.0,6.679707877582733,1.579725813440835
6038,2019-01-01 22:24:39+00:00,5.0,11.947352018250797,1.6855858747993577
6039,2019-01-01 23:24:39+00:00,4.0,10.261766143451439,2.3663746712725726
6040,2019-01-02 00:24:39+00:00,4.0,10.261766143451439,2.3663746712725726
6041,2019-01-02 01:24:39+00:00,3.0,4.994122002783375,1.4738657520823124
6042,2019-01-02 02:24:39+00:00,1.0,1.4738657520823124,1.4738657520823124
6043,2019-01-02 03:24:39+00:00,0.0,0.0,0.0
6044,2019-01-02 04:24:39+00:00,0.0,0.0,0.0
6045,2019-01-02 05:24:39+00:00,0.0,0.0,0.0
6046,2019-01-02 06:24:39+00:00,0.0,0.0,0.0
6047,2019-01-02 07:24:39+00:00,0.0,0.0,0.0
6048,2019-01-02 08:24:39+00:00,0.0,0.0,0.0
6049,2019-01-02 09:24:39+00:00,0.0,0.0,0.0
6050,2019-01-02 10:24:39+00:00,0.0,0.0,0.0
6051,2019-01-02 11:24:39+00:00,0.0,0.0,0.0
6052,2019-01-02 12:24:39+00:00,0.0,0.0,0.0
6053,2019-01-02 13:24:39+00:00,0.0,0.0,0.0
6054,2019-01-02 14:24:39+00:00,1.0,4.178200494578656,4.178200494578656
6055,2019-01-02 15:24:39+00:00,1.0,4.178200494578656,4.178200494578656
6056,2019-01-02 16:24:39+00:00,6.0,17.835453839731485,2.7033581140217167
6057,2019-01-02 17:24:39+00:00,15.0,35.95377088417002,1.314083736203594
6058,2019-01-02 18:24:39+00:00,18.0,41.70998628696663,1.4058694585035487
6059,2019-01-02 19:24:39+00:00,22.0,52.83048381057932,1.4058694585035487
6060,2019-01-02 20:24:39+00:00,23.0,53.38700792488908,1.314083736203594
6061,2019-01-02 21:24:39+00:00,23.0,53.38700792488908,1.314083736203594
6062,2019-01-02 22:24:39+00:00,26.0,58.160081073553506,1.4058694585035487
6063,2019-01-02 23:24:39+00:00,24.0,47.741041418135694,1.2419350331648982
6064,2019-01-03 00:24:39+00:00,24.0,42.57654718542209,1.2419350331648982
6065,2019-01-03 01:24:39+00:00,17.0,29.41807035711469,1.314083736203594
6066,2019-01-03 02:24:39+00:00,11.0,16.77779279225281,1.314083736203594
6067,2019-01-03 03:24:39+00:00,7.0,13.6963505055293,1.314083736203594
6068,2019-01-03 04:24:39+00:00,4.0,7.976775465463362,1.2229858627174484
6069,2019-01-03 05:24:39+00:00,2.0,1.2595110849754136,0.6297555424877068
6070,2019-01-03 06:24:39+00:00,2.0,1.2595110849754136,0.6297555424877068
6071,2019-01-03 07:24:39+00:00,2.0,1.2595110849754136,0.6297555424877068
6072,2019-01-03 08:24:39+00:00,2.0,1.2595110849754136,0.6297555424877068
6073,2019-01-03 09:24:39+00:00,2.0,1.2595110849754136,0.6297555424877068
6074,2019-01-03 10:24:39+00:00,2.0,1.2595110849754136,0.6297555424877068
6075,2019-01-03 11:24:39+00:00,1.0,1.1318879892313027,1.1318879892313027
6076,2019-01-03 12:24:39+00:00,1.0,1.1318879892313027,1.1318879892313027
6077,2019-01-03 13:24:39+00:00,1.0,1.1318879892313027,1.1318879892313027
6078,2019-01-03 14:24:39+00:00,0.0,0.0,0.0
6079,2019-01-03 15:24:39+00:00,0.0,0.0,0.0
6080,2019-01-03 16:24:39+00:00,6.0,5.309092178037625,0.5421340818698994
6081,2019-01-03 17:24:39+00:00,16.0,21.317730839001747,0.7769657370710616
6082,2019-01-03 18:24:39+00:00,17.0,22.426898331568648,0.8586030664395229
6083,2019-01-03 19:24:39+00:00,19.0,26.57701915525501,0.8586030664395229
6084,2019-01-03 20:24:39+00:00,19.0,26.57701915525501,0.8586030664395229
6085,2019-01-03 21:24:39+00:00,21.0,33.2058223540564,1.109167492566898
